Platz,Bey,ELO,PowerIndex,Matches,Wins,Losses,Winrate,PointsFor,PointsAgainst,AvgPointDiff,Volatility,AvgΔELO,MaxΔELO,MinΔELO,UpsetWins,UpsetLosses,ELOTrend
1,FoxBrush,1076,91.8,10,9,1,90.0%,42,17,2.5,11.76,11.68,20.0,-20.48,0,1,75.88
2,ImpactDrake,1064,83.7,8,7,1,87.5%,33,14,2.38,10.72,9.56,20.98,-6.07,2,1,63.99
3,CerberusFlame,1033,59.4,4,3,1,75.0%,13,6,1.75,13.09,13.49,19.77,-10.63,0,0,32.71
4,TuskMammoth,1022,55.5,7,5,2,71.4%,25,16,1.29,14.29,12.45,19.77,-19.51,2,1,21.98
5,CobaltDragoon,1029,54.9,5,3,2,60.0%,20,12,1.6,13.16,11.26,20.0,-7.65,0,2,29.32
6,RhinoReaper,1021,52.9,6,4,2,66.7%,22,19,0.5,14.39,11.53,21.81,-20.0,4,0,21.36
7,KnightMail,1022,51.1,3,2,1,66.7%,12,7,1.67,12.67,10.34,20.71,-4.49,2,0,22.05
8,DranDagger,1022,49.5,5,3,2,60.0%,16,12,0.8,16.4,14.12,21.07,-12.47,1,1,21.64
9,DranSword,1002,42.3,5,3,2,60.0%,16,15,0.2,10.49,8.18,13.37,-14.06,2,1,1.98
10,WizardRod,999,41.8,5,3,2,60.0%,15,16,-0.2,8.35,7.07,7.65,-10.29,1,0,-1.03
11,UnicornSting,1005,40.7,5,3,2,60.0%,14,12,0.4,17.49,14.87,20.0,-21.07,0,2,5.45
12,WeissTiger,1017,40.0,3,1,2,33.3%,10,8,0.67,12.69,7.93,20.0,-3.62,0,1,16.54
13,ViperTail,1004,37.3,4,2,2,50.0%,11,12,-0.25,15.57,12.44,20.19,-14.33,1,1,3.96
14,SilverWolf,1000,35.6,4,2,2,50.0%,11,11,0.0,14.77,11.28,12.38,-19.77,2,0,-0.14
15,PhoenixRudder,991,34.1,4,2,2,50.0%,11,13,-0.5,8.87,7.33,6.67,-12.38,1,1,-8.74
16,ScorpioSpear,992,31.8,4,2,2,50.0%,10,13,-0.75,14.02,11.1,11.3,-19.77,0,0,-8.47
17,HellsChain,995,31.4,3,1,2,33.3%,11,12,-0.33,7.26,6.15,6.56,-6.67,0,1,-5.34
18,GolemRock,994,30.9,4,2,2,50.0%,9,10,-0.25,18.35,14.8,20.0,-20.99,0,1,-6.06
19,PhoenixWing,985,29.5,4,2,2,50.0%,11,15,-1.0,11.75,9.02,7.65,-19.01,1,0,-15.06
20,TyrannoBeat,987,26.3,3,1,2,33.3%,7,11,-1.33,9.77,8.8,6.67,-11.93,0,0,-13.07
21,DranBuster,996,25.5,3,1,2,33.3%,6,9,-1.0,20.62,15.27,20.77,-20.0,1,0,-4.27
22,WizardArrow,993,24.6,2,0,2,0.0%,6,8,-1.0,0.69,3.35,-2.86,-3.84,0,1,-6.7
23,PerseusDark,992,23.4,3,1,2,33.3%,7,9,-0.67,20.79,16.12,20.0,-20.71,0,2,-8.36
24,WhaleFlame,992,23.3,1,0,1,0.0%,2,4,-2.0,0.0,7.82,-7.82,-7.82,0,1,-7.82
25,LeonCrest,991,22.3,2,0,2,0.0%,5,8,-1.5,2.62,4.71,-2.86,-6.56,0,0,-9.42
26,SharkEdge,985,22.2,3,1,2,33.3%,6,10,-1.33,16.1,13.05,12.0,-20.0,0,1,-15.14
27,WizardArc,989,22.0,2,0,2,0.0%,5,9,-2.0,1.96,5.29,-3.9,-6.67,0,0,-10.57
28,DranBrave,981,21.6,3,1,2,33.3%,7,11,-1.33,13.46,10.7,6.67,-20.2,0,2,-18.75
29,HellsReaper,987,21.5,2,0,2,0.0%,4,8,-2.0,0.01,6.67,-6.66,-6.67,0,0,-13.33
30,WhaleWave,977,18.8,3,1,2,33.3%,5,11,-2.0,14.23,13.04,7.82,-20.0,1,0,-23.48
31,PegasusBlast,982,18.2,1,0,1,0.0%,0,4,-4.0,0.0,17.9,-17.9,-17.9,0,0,-17.9
32,BlackShell,978,17.2,3,1,2,33.3%,4,9,-1.67,18.76,16.88,14.07,-20.0,1,0,-22.49
33,HellsHammer,978,11.8,2,0,2,0.0%,3,9,-3.0,11.34,10.88,-2.86,-18.9,0,0,-21.76
34,LeonClaw,978,11.0,2,0,2,0.0%,2,8,-3.0,12.98,10.82,-1.65,-20.0,0,0,-21.65
35,SamuraiSaber,973,9.5,2,0,2,0.0%,2,8,-3.0,9.96,13.71,-6.67,-20.76,0,1,-27.43
36,CrimsonGaruda,968,9.3,2,0,2,0.0%,1,8,-3.5,5.66,16.0,-12.0,-20.0,0,0,-32.0
