MatchID,Date,BeyA,BeyB,ScoreA,ScoreB,MatchType,SeasonID,Tier,Matchday
M0001,2025-09-07,ViperTail,WizardArc,4,2,exhibition,,,
M0002,2025-09-07,SamuraiSaber,TuskMammoth,2,4,exhibition,,,
M0003,2025-09-07,BlackShell,GolemRock,0,4,exhibition,,,
M0004,2025-09-07,LeonCrest,ImpactDrake,3,4,exhibition,,,
M0005,2025-09-07,DranBrave,HellsReaper,4,2,exhibition,,,
M0006,2025-09-07,HellsHammer,DranSword,3,4,exhibition,,,
M0007,2025-09-07,DranDagger,CrimsonGaruda,4,0,exhibition,,,
M0008,2025-09-07,LeonClaw,UnicornSting,0,4,exhibition,,,
M0009,2025-09-07,FoxBrush,DranBuster,5,0,exhibition,,,
M0010,2025-09-07,HellsChain,TyrannoBeat,2,4,exhibition,,,
M0011,2025-09-07,PhoenixWing,WizardArrow,4,3,exhibition,,,
M0012,2025-09-07,SharkEdge,CobaltDragoon,0,5,exhibition,,,
M0013,2025-09-07,PerseusDark,WhaleWave,5,0,exhibition,,,
M0014,2025-09-07,SilverWolf,WizardRod,3,4,exhibition,,,
M0015,2025-09-07,WeissTiger,RhinoReaper,4,0,exhibition,,,
M0016,2025-09-07,ScorpioSpear,PhoenixRudder,2,4,exhibition,,,
M0017,2025-09-07,ViperTail,TuskMammoth,2,5,exhibition,,,
M0018,2025-09-07,GolemRock,ImpactDrake,0,4,exhibition,,,
M0019,2025-09-07,DranBrave,DranSword,3,5,exhibition,,,
M0020,2025-09-07,DranDagger,UnicornSting,1,4,exhibition,,,
M0021,2025-09-07,FoxBrush,TyrannoBeat,5,2,exhibition,,,
M0022,2025-09-07,PhoenixWing,CobaltDragoon,4,2,exhibition,,,
M0023,2025-09-07,PerseusDark,WizardRod,2,4,exhibition,,,
M0024,2025-09-07,WeissTiger,PhoenixRudder,3,4,exhibition,,,
M0025,2025-09-07,TuskMammoth,ImpactDrake,0,4,exhibition,,,
M0026,2025-09-07,DranSword,UnicornSting,4,1,exhibition,,,
M0027,2025-09-07,FoxBrush,PhoenixWing,4,0,exhibition,,,
M0028,2025-09-07,WizardRod,PhoenixRudder,4,2,exhibition,,,
M0029,2025-09-07,ImpactDrake,DranSword,4,2,exhibition,,,
M0030,2025-09-07,FoxBrush,WizardRod,4,1,exhibition,,,
M0031,2025-09-07,ImpactDrake,FoxBrush,7,0,exhibition,,,
M0032,2025-11-12,WeissTiger,ImpactDrake,3,4,exhibition,,,
M0033,2025-11-12,CobaltDragoon,WizardArc,5,3,exhibition,,,
M0034,2025-11-12,HellsChain,PhoenixWing,6,3,exhibition,,,
M0035,2025-11-12,UnicornSting,WizardRod,5,2,exhibition,,,
M0036,2025-11-12,PhoenixRudder,SilverWolf,1,4,exhibition,,,
M0037,2025-11-12,LeonCrest,GolemRock,2,4,exhibition,,,
